Frequency (Hz),Magnitude (dB),Phase (Degrees)
3475.36161443196,13.6449125766033,-48.2730521611425
3483.37315036002,13.6449610620172,-48.4215561523349
3491.40315478576,13.6449769656065,-48.5705952033969
3499.45167028347,13.6449598330704,-48.7201707525068
3507.51873952558,13.6449092059578,-48.8702842250367
3515.60440528288,13.6448246216545,-49.0209370331896
3523.70871042477,13.6447056133704,-49.1721305756316
3531.83169791947,13.644551710127,-49.3238662371194
3539.97341083424,13.6443624367453,-49.4761453881242
3548.13389233565,13.6441373138355,-49.6289693844498
3556.31318568975,13.6438758577855,-49.7823395668471
3564.51133426234,13.6435775807517,-49.9362572606237
3572.72838151918,13.6432419906493,-50.0907237752485
3580.96437102626,13.6428685911436,-50.2457404039527
3589.21934644995,13.6424568816425,-50.401308423326
3597.49335155732,13.6420063572886,-50.5574290929075
3605.78643021632,13.6415165089531,-50.7141036547734
